key,category,title,ok,detail
required_pages_registered,registry,Required workspaces are registered,True,
workspace_actions_known,actions,Every workspace action is declared in ACTION_SPECS,True,
dashboard_minimal_action_surface,actions,Dashboard only exposes refresh/theme/screenshot/user,True,"('refresh', 'theme', 'screenshot', 'user')"
navigation_entries_resolve,navigation,Main navigation page references resolve to registered workspaces,True,
manifest_table_settings_scoped,columns,Workspace table settings are scoped under ui/columns/<page>/<table>,True,
design_tokens_minimum_shell_metrics,design,Menu/action/table typography metrics are centralized and readable,True,
required_table_contracts_registered,columns,Required business tables have universal column contracts,True,
table_column_keys_unique,columns,Column keys are unique per contract,True,
table_column_settings_scoped,columns,Column settings keys are scoped to their table contract,True,
required_columns_visible_by_default,columns,Required columns stay visible by default,True,
print_export_defaults_exist,columns,Printable/exportable contracts expose default columns,True,
custom_table_uses_contract_for_output,columns,CustomTableView routes display/print/export through column contract,True,
column_output_separates_purposes,columns,"Column output separates visible, printable and exportable settings",True,
keyboard_policy_contract_exists,keyboard,Unified Enter/Shift+Enter/Esc table policy exists,True,
keyboard_policy_wired_to_editable_tables,keyboard,Keyboard policy is wired to editable grids without forcing list tables into cell selection,True,
barcode_profiles_registered,barcode,Items/apparel/restaurant/cafe barcode profiles are registered,True,
barcode_profiles_multi_print_browser_html,barcode,Barcode profiles are multi-print and Browser-HTML only,True,
barcode_profile_candidate_providers,barcode,Every barcode profile has a multi-print candidate provider,True,
barcode_printing_service_path,barcode,Barcode labels route through unified printing_service Browser HTML path,True,
barcode_batch_dialog_profile_aware,barcode,Batch print dialog is profile-aware,True,
