key,source_kind,title_key,branch_policy,enforcement,branch_source,permission_view,api_resource,network_mode,i18n_scope,settings_scope,audit_scope,server_blueprint,requires_server_filter,requires_payload_branch,requires_allowed_branch_check,local_only,server_status,notes
document:sales_invoice,document,sales_invoice,required,required_scope,payload.branch_id,sales_invoices.view,/api/invoices,remote_available,transactions.sales_invoice,transactions.sales_invoice,transactions.sales_invoice,invoices,True,True,True,False,required,
document:purchase_invoice,document,purchase_invoice,required,required_scope,payload.branch_id,purchase_invoices.view,/api/invoices,remote_available,transactions.purchase_invoice,transactions.purchase_invoice,transactions.purchase_invoice,invoices,True,True,True,False,required,
document:sales_return,document,sales_return,required,required_scope,payload.branch_id,sales_returns.view,/api/returns/sales,remote_required,transactions.sales_return,transactions.sales_return,transactions.sales_return,returns,True,True,True,False,required,Remote update parity must remain guarded by tests.
document:purchase_return,document,purchase_return,required,required_scope,payload.branch_id,purchase_returns.view,/api/returns/purchase,remote_required,transactions.purchase_return,transactions.purchase_return,transactions.purchase_return,returns,True,True,True,False,required,Remote update parity must remain guarded by tests.
document:material,document,items,optional,optional_scope,payload.branch_id,items.view,/api/items,remote_available,materials.document,materials,materials,items,False,False,False,False,not_applicable,
document:category,document,categories,none,none,none,categories.view,/api/categories,mixed,categories.document,categories,categories,categories,False,False,False,False,not_applicable,
document:customer,document,customers,optional,optional_scope,payload.branch_id,customers.view,/api/customers,remote_available,parties.customer,parties.customers,parties.customer,customers,False,False,False,False,not_applicable,
document:supplier,document,suppliers,optional,optional_scope,payload.branch_id,suppliers.view,/api/suppliers,remote_available,parties.supplier,parties.suppliers,parties.supplier,suppliers,False,False,False,False,not_applicable,
document:voucher,document,vouchers,optional,optional_scope,payload.branch_id,vouchers.view,/api/vouchers,remote_available,finance.voucher,finance.vouchers,finance.voucher,vouchers,False,False,False,False,not_applicable,
document:expense,document,expense,optional,optional_scope,payload.branch_id,expenses.view,/api/expenses,remote_available,finance.expense,finance.expenses,finance.expense,expenses,False,False,False,False,not_applicable,
document:cashbox,document,cashboxes,optional,optional_scope,payload.branch_id,cashboxes.view,/api/cashboxes,remote_available,finance.cashbox,finance.cashboxes,finance.cashbox,cashboxes,False,False,False,False,not_applicable,
document:bank_account,document,bank_accounts,optional,optional_scope,payload.branch_id,bank_accounts.view,/api/bank_accounts,remote_available,finance.bank_account,finance.bank_accounts,finance.bank_account,cashboxes,False,False,False,False,not_applicable,
document:warehouse,document,warehouses,optional,optional_scope,payload.branch_id,warehouses.view,/api/warehouses,remote_available,inventory.warehouse,inventory.warehouses,inventory.warehouse,warehouses,False,False,False,False,not_applicable,
document:warehouse_transfer,document,inventory_transfer,required,required_scope,payload.branch_id,warehouse_transfers.view,/api/warehouse-transfers,remote_available,inventory.transfer,inventory.transfers,inventory.transfer,warehouses,True,True,True,False,required,
document:branch,document,branches,none,none,none,branches.view,/api/branches,remote_available,branches.document,branches,branches,branches,False,False,False,False,not_applicable,
document:bom,document,bom,optional,optional_scope,payload.branch_id,manufacturing.bom.view,/api/manufacturing/boms,remote_available,manufacturing.bom,manufacturing.bom,manufacturing.bom,manufacturing,False,False,False,False,not_applicable,
document:production_order,document,production_order,optional,optional_scope,payload.branch_id,manufacturing.production_orders.view,/api/manufacturing/production-orders,remote_available,manufacturing.production_order,manufacturing.production_orders,manufacturing.production_order,manufacturing,False,False,False,False,not_applicable,
document:user,document,users,user_branch_access,user_branch_access,rbac.user_branch_access,users.view,/api/users,remote_available,users.document,users,users,users,True,False,True,False,required,
document:settings_section,document,settings,none,none,none,settings.view,/api/settings,remote_available,settings.document,settings,settings,settings,False,False,False,False,not_applicable,
document:reports,document,reports,optional,optional_scope,payload.branch_id,reports.view,/api/reports,remote_available,reports.shell,reports,reports,reports,False,False,False,False,not_applicable,"ReportShell is currently a widget contract target, not yet a BaseDocumentTab."
document:pos,document,pos,required,required_scope,payload.branch_id,pos.view,/api/invoices,remote_available,pos.shell,pos,pos,invoices,True,True,True,False,required,OperationalShell: shift/cashbox/warehouse policy is intentionally different from document tabs.
document:restaurant,document,restaurant,required,required_scope,payload.branch_id,restaurant.view,/api/restaurant,remote_available,restaurant.shell,restaurant,restaurant,restaurant,True,True,True,False,required,OperationalShell: table/session/kitchen policy is intentionally different from document tabs.
list:sales_invoices,list,sales_invoices,required,required_scope,payload.branch_id,sales_invoices.view,/api/invoices,remote_available,transactions.sales_invoice,transactions.sales_invoice.list,transactions.sales_invoice.list,invoices,True,False,True,False,required,
list:purchase_invoices,list,purchase_invoices,required,required_scope,payload.branch_id,purchase_invoices.view,/api/invoices,remote_available,transactions.purchase_invoice,transactions.purchase_invoice.list,transactions.purchase_invoice.list,invoices,True,False,True,False,required,
list:sales_returns,list,sales_returns,required,required_scope,payload.branch_id,sales_returns.view,/api/returns/sales,remote_required,transactions.sales_return,transactions.sales_return.list,transactions.sales_return.list,returns,True,False,True,False,required,
