key,category,description,status,detail,phase
brand_phase,tokens,Brand phase records the Phase431 horizontal login with Phase368 peer toggle rule,pass,431,431
required_login_Phase368: password visibility button is alig,login_source,"LoginDialog contains password toggle alignment marker: Phase368: password visibility button is aligned as a separate fixed-size peer, never painted over the password field.",pass,"Phase368: password visibility button is aligned as a separate fixed-size peer, never painted over the password field.",431
required_login_Phase431: horizontal branded login layout,login_source,LoginDialog contains password toggle alignment marker: Phase431: horizontal branded login layout,pass,Phase431: horizontal branded login layout,431
required_login_pwd_row = QFrame(),login_source,LoginDialog contains password toggle alignment marker: pwd_row = QFrame(),pass,pwd_row = QFrame(),431
required_login_pwd_row.setObjectName('loginPasswordRow'),login_source,LoginDialog contains password toggle alignment marker: pwd_row.setObjectName('loginPasswordRow'),pass,pwd_row.setObjectName('loginPasswordRow'),431
required_login_pwd_layout = QHBoxLayout(pwd_row),login_source,LoginDialog contains password toggle alignment marker: pwd_layout = QHBoxLayout(pwd_row),pass,pwd_layout = QHBoxLayout(pwd_row),431
required_login_pwd_layout.setSpacing(10),login_source,LoginDialog contains password toggle alignment marker: pwd_layout.setSpacing(10),pass,pwd_layout.setSpacing(10),431
"required_login_pwd_layout.setContentsMargins(0, 0, 0, 0)",login_source,"LoginDialog contains password toggle alignment marker: pwd_layout.setContentsMargins(0, 0, 0, 0)",pass,"pwd_layout.setContentsMargins(0, 0, 0, 0)",431
required_login_self.password_edit.setObjectName('loginPassw,login_source,LoginDialog contains password toggle alignment marker: self.password_edit.setObjectName('loginPasswordEdit'),pass,self.password_edit.setObjectName('loginPasswordEdit'),431
required_login_self.password_edit.setMinimumHeight(int(BRAN,login_source,"LoginDialog contains password toggle alignment marker: self.password_edit.setMinimumHeight(int(BRAND.get('login_field_height', 48)))",pass,"self.password_edit.setMinimumHeight(int(BRAND.get('login_field_height', 48)))",431
required_login_self.password_edit.setSizePolicy(QSizePolicy,login_source,"LoginDialog contains password toggle alignment marker: self.password_edit.setSizePolicy(QSizePolicy.Expanding, QSizePolicy.Fixed)",pass,"self.password_edit.setSizePolicy(QSizePolicy.Expanding, QSizePolicy.Fixed)",431
required_login_self.show_pwd_btn.setObjectName('loginPasswo,login_source,LoginDialog contains password toggle alignment marker: self.show_pwd_btn.setObjectName('loginPasswordVisibilityButton'),pass,self.show_pwd_btn.setObjectName('loginPasswordVisibilityButton'),431
"required_login_self.show_pwd_btn.setFixedSize(42, 42)",login_source,"LoginDialog contains password toggle alignment marker: self.show_pwd_btn.setFixedSize(42, 42)",pass,"self.show_pwd_btn.setFixedSize(42, 42)",431
required_login_self.show_pwd_btn.setSizePolicy(QSizePolicy.,login_source,"LoginDialog contains password toggle alignment marker: self.show_pwd_btn.setSizePolicy(QSizePolicy.Fixed, QSizePolicy.Fixed)",pass,"self.show_pwd_btn.setSizePolicy(QSizePolicy.Fixed, QSizePolicy.Fixed)",431
"required_login_pwd_layout.addWidget(self.password_edit, 1)",login_source,"LoginDialog contains password toggle alignment marker: pwd_layout.addWidget(self.password_edit, 1)",pass,"pwd_layout.addWidget(self.password_edit, 1)",431
"required_login_pwd_layout.addWidget(self.show_pwd_btn, 0, Q",login_source,"LoginDialog contains password toggle alignment marker: pwd_layout.addWidget(self.show_pwd_btn, 0, Qt.AlignVCenter)",pass,"pwd_layout.addWidget(self.show_pwd_btn, 0, Qt.AlignVCenter)",431
required_qss_QLineEdit#loginPasswordEdit,qss_source,QSS fixes password toggle geometry: QLineEdit#loginPasswordEdit,pass,QLineEdit#loginPasswordEdit,431
required_qss_QPushButton#loginPasswordVisibilityButton,qss_source,QSS fixes password toggle geometry: QPushButton#loginPasswordVisibilityButton,pass,QPushButton#loginPasswordVisibilityButton,431
required_qss_min-width: 42px;,qss_source,QSS fixes password toggle geometry: min-width: 42px;,pass,min-width: 42px;,431
required_qss_max-width: 42px;,qss_source,QSS fixes password toggle geometry: max-width: 42px;,pass,max-width: 42px;,431
required_qss_min-height: 42px;,qss_source,QSS fixes password toggle geometry: min-height: 42px;,pass,min-height: 42px;,431
required_qss_max-height: 42px;,qss_source,QSS fixes password toggle geometry: max-height: 42px;,pass,max-height: 42px;,431
required_qss_padding: 0px;,qss_source,QSS fixes password toggle geometry: padding: 0px;,pass,padding: 0px;,431
required_qss_margin: 0px;,qss_source,QSS fixes password toggle geometry: margin: 0px;,pass,margin: 0px;,431
"required_qss_QFrame#loginCard[loginDensity=""horizontal_co",qss_source,"QSS fixes password toggle geometry: QFrame#loginCard[loginDensity=""horizontal_compact""] QFrame#loginPasswordRow",pass,"QFrame#loginCard[loginDensity=""horizontal_compact""] QFrame#loginPasswordRow",431
