code,area,title,path,ok,detail
preferred_entry_column,keyboard,Editable grids focus item/material column first,alrajhi_client/ui/table_keyboard_policy.py,True,
editor_default_clear,keyboard,Enter prepares editor text and clears placeholder defaults,alrajhi_client/ui/table_keyboard_policy.py,True,
entry_column_headers,keyboard,Legacy Arabic/English/German material headers are recognized,alrajhi_client/ui/table_keyboard_policy.py,True,
click_selects_text,text_focus,Text inputs select all on focus and mouse click,alrajhi_client/utils.py,True,
editable_combo_text_policy,text_focus,Editable combo/spinbox line edits share the text policy,alrajhi_client/utils.py,True,
custom_table_initial_focus,keyboard,CustomTableView schedules unified entry focus,alrajhi_client/views/custom_table_view.py,True,
smart_table_initial_focus,keyboard,SmartTableView schedules unified entry focus after model binding,alrajhi_client/ui/smart_table_view.py,True,
editable_grid_initial_focus,keyboard,EditableSmartGrid schedules unified entry focus after row creation,alrajhi_client/ui/editable_smart_grid.py,True,
returns_search_enabled,returns,Return documents keep material/barcode entry enabled,alrajhi_client/features/transactions/transaction_document_tab.py,True,
returns_no_original_header_gate,returns,Original invoice selector is not the primary return header workflow,alrajhi_client/features/transactions/transaction_document_tab.py,True,
returns_insert_adds_line,returns,Insert/Add line in returns adds an editable row instead of loading an invoice,alrajhi_client/features/transactions/transaction_document_tab.py,True,
returns_manual_save_payload,returns,Manual returns save grid lines when no original invoice is selected,alrajhi_client/features/transactions/transaction_document_tab.py,True,
sales_return_item_editable,returns,Sales return item column is editable like invoices,alrajhi_client/features/transactions/grids/transaction_column_schema.py,True,
purchase_return_item_editable,returns,Purchase return item column is editable like invoices,alrajhi_client/features/transactions/grids/transaction_column_schema.py,True,
manual_return_validation,returns,Return validation allows manual rows while keeping assisted invoice limits,alrajhi_client/features/transactions/grids/transaction_line_model.py,True,
manual_sales_return_gateway,returns,Local sales return gateway supports manual editable returns,alrajhi_client/gateways/local/sales_return_gateway.py,True,
manual_purchase_return_gateway,returns,Local purchase return gateway supports manual editable returns,alrajhi_client/gateways/local/purchase_return_gateway.py,True,
manual_return_schema,database,Fresh databases create nullable original invoice return headers,alrajhi_client/database/migrations.py,True,
