surface_key,surface_family,document_type,api_resource,network_mode,offline_policy,queueable,allowed_methods,queueable_prefixes,conflict_policy,replay_priority,idempotency_key,branch_required,audit_required,settings_scope,permission_keys,source_contract,notes
document.sales_invoice,document,sales_invoice,/api/invoices,remote_available,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/invoices,idempotent_create,10,reference_or_payload_hash,True,True,transactions.sales_invoice,"sales_invoices.view,sales_invoices.create,sales_invoices.update,sales_invoices.delete,sales_invoices.print,sales_invoices.export,sales_invoices.approve,sales_invoices.cancel",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.purchase_invoice,document,purchase_invoice,/api/invoices,remote_available,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/invoices,idempotent_create,10,reference_or_payload_hash,True,True,transactions.purchase_invoice,"purchase_invoices.view,purchase_invoices.create,purchase_invoices.update,purchase_invoices.delete,purchase_invoices.print,purchase_invoices.export,purchase_invoices.approve,purchase_invoices.cancel",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.sales_return,document,sales_return,/api/returns/sales,remote_required,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/returns/sales,client_replay,10,reference_or_payload_hash,True,True,transactions.sales_return,"sales_returns.view,sales_returns.create,sales_returns.update,sales_returns.delete,sales_returns.print,sales_returns.export,sales_returns.approve,sales_returns.cancel",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.purchase_return,document,purchase_return,/api/returns/purchase,remote_required,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/returns/purchase,client_replay,10,reference_or_payload_hash,True,True,transactions.purchase_return,"purchase_returns.view,purchase_returns.create,purchase_returns.update,purchase_returns.delete,purchase_returns.print,purchase_returns.export,purchase_returns.approve,purchase_returns.cancel",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.material,document,material,/api/items,remote_available,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/items,manual_review,50,reference_or_payload_hash,False,True,materials,"items.view,items.create,items.update,items.delete,items.print,items.export",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.category,document,category,/api/categories,mixed,block_when_offline,False,,,none,50,,False,True,categories,"categories.view,categories.create,categories.update,categories.delete",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.customer,document,customer,/api/customers,remote_available,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/customers,manual_review,50,reference_or_payload_hash,False,True,parties.customers,"customers.view,customers.create,customers.update,customers.delete,customers.print,customers.export",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.supplier,document,supplier,/api/suppliers,remote_available,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/suppliers,manual_review,50,reference_or_payload_hash,False,True,parties.suppliers,"suppliers.view,suppliers.create,suppliers.update,suppliers.delete,suppliers.print,suppliers.export",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.voucher,document,voucher,/api/vouchers,remote_available,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/vouchers,client_replay,10,reference_or_payload_hash,False,True,finance.vouchers,"vouchers.view,vouchers.create,vouchers.update,vouchers.delete,vouchers.print,vouchers.export,vouchers.approve,vouchers.cancel",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
document.expense,document,expense,/api/expenses,remote_available,queue_when_offline,True,"POST,PUT,PATCH,DELETE",/api/expenses,client_replay,50,reference_or_payload_hash,False,True,finance.expenses,"expenses.view,expenses.create,expenses.update,expenses.delete,expenses.print,expenses.export,expenses.cancel",document_shell,Write operations are queued only after transport failure; server validation/conflicts still win during replay.
