scenario_key,module,title_key,step_index,step_key,surface,action,document_type,list_key,report_key,operational_shell,operation_key,api_resource,network_mode,permission_key,audit_event_key,offline_surface_key,settings_scope,i18n_scope,currency_policy,branch_policy,expects,scenario_currency_sensitive,scenario_branch_sensitive,scenario_print_sensitive,scenario_offline_sensitive,notes
sales_invoice_full_cycle,transactions,scenario_sales_invoice_full_cycle,1,sales_invoices.open,list,open,,sales_invoices,,,,/api/invoices,remote_available,sales_invoices.view,list.sales_invoices.open,,transactions.sales_invoice.list,transactions.sales_invoice,document_currency,required,"rbac,branch,audit,i18n",True,True,True,True,
sales_invoice_full_cycle,transactions,scenario_sales_invoice_full_cycle,2,sales_invoice.save,document,save,sales_invoice,,,,,/api/invoices,remote_available,sales_invoices.update,document.sales_invoice.save,document.sales_invoice,transactions.sales_invoice,transactions.sales_invoice,document_currency,required,"api,rbac,branch,currency,settings,i18n,audit,print,offline",True,True,True,True,
sales_invoice_full_cycle,transactions,scenario_sales_invoice_full_cycle,3,sales_invoice.print,document,print,sales_invoice,,,,,/api/invoices,remote_available,sales_invoices.print,document.sales_invoice.print,document.sales_invoice,transactions.sales_invoice,transactions.sales_invoice,document_currency,required,"print,currency,settings,i18n,rbac,audit",True,True,True,True,
sales_invoice_full_cycle,transactions,scenario_sales_invoice_full_cycle,4,invoice_profit.view,report,view,,,invoice_profit,,,/api/reports/invoice-profit,mixed,reports.view,report.invoice_profit.view,report.invoice_profit,reports,reports.shell,display_currency,optional,"api,rbac,branch,currency,audit",True,True,True,True,
purchase_invoice_full_cycle,transactions,scenario_purchase_invoice_full_cycle,1,purchase_invoices.open,list,open,,purchase_invoices,,,,/api/invoices,remote_available,purchase_invoices.view,list.purchase_invoices.open,,transactions.purchase_invoice.list,transactions.purchase_invoice,document_currency,required,"rbac,branch,audit,i18n",True,True,True,True,
purchase_invoice_full_cycle,transactions,scenario_purchase_invoice_full_cycle,2,purchase_invoice.save,document,save,purchase_invoice,,,,,/api/invoices,remote_available,purchase_invoices.update,document.purchase_invoice.save,document.purchase_invoice,transactions.purchase_invoice,transactions.purchase_invoice,document_currency,required,"api,rbac,branch,currency,settings,i18n,audit,print,offline",True,True,True,True,
purchase_invoice_full_cycle,transactions,scenario_purchase_invoice_full_cycle,3,purchase_invoice.print,document,print,purchase_invoice,,,,,/api/invoices,remote_available,purchase_invoices.print,document.purchase_invoice.print,document.purchase_invoice,transactions.purchase_invoice,transactions.purchase_invoice,document_currency,required,"print,currency,settings,i18n,rbac,audit",True,True,True,True,
purchase_invoice_full_cycle,transactions,scenario_purchase_invoice_full_cycle,4,supplier_statement.view,report,view,,,supplier_statement,,,/api/reports/suppliers/<id>/statement,remote_available,reports.view,report.supplier_statement.view,report.supplier_statement,reports,reports.shell,display_currency,optional,"api,rbac,currency,audit",True,True,True,True,
sales_return_edit_print,transactions,scenario_sales_return_edit_print,1,sales_returns.open,list,open,,sales_returns,,,,/api/returns/sales,remote_required,sales_returns.view,list.sales_returns.open,,transactions.sales_return.list,transactions.sales_return,document_currency,required,"rbac,branch,audit,i18n",True,True,True,True,Protects the return list double-click/edit/print path fixed in Phase 266.
sales_return_edit_print,transactions,scenario_sales_return_edit_print,2,sales_return.save,document,save,sales_return,,,,,/api/returns/sales,remote_required,sales_returns.update,document.sales_return.save,document.sales_return,transactions.sales_return,transactions.sales_return,document_currency,required,"api,rbac,branch,currency,settings,i18n,audit,print,offline",True,True,True,True,Protects the return list double-click/edit/print path fixed in Phase 266.
sales_return_edit_print,transactions,scenario_sales_return_edit_print,3,sales_return.print,document,print,sales_return,,,,,/api/returns/sales,remote_required,sales_returns.print,document.sales_return.print,document.sales_return,transactions.sales_return,transactions.sales_return,document_currency,required,"print,currency,settings,i18n,rbac,audit",True,True,True,True,Protects the return list double-click/edit/print path fixed in Phase 266.
sales_return_edit_print,transactions,scenario_sales_return_edit_print,4,customer_statement.view,report,view,,,customer_statement,,,/api/reports/customers/<id>/statement,remote_available,reports.view,report.customer_statement.view,report.customer_statement,reports,reports.shell,display_currency,optional,"api,rbac,currency,audit",True,True,True,True,Protects the return list double-click/edit/print path fixed in Phase 266.
purchase_return_edit_print,transactions,scenario_purchase_return_edit_print,1,purchase_returns.open,list,open,,purchase_returns,,,,/api/returns/purchase,remote_required,purchase_returns.view,list.purchase_returns.open,,transactions.purchase_return.list,transactions.purchase_return,document_currency,required,"rbac,branch,audit,i18n",True,True,True,True,Protects the purchase return currency/print path fixed in Phase 266.
purchase_return_edit_print,transactions,scenario_purchase_return_edit_print,2,purchase_return.save,document,save,purchase_return,,,,,/api/returns/purchase,remote_required,purchase_returns.update,document.purchase_return.save,document.purchase_return,transactions.purchase_return,transactions.purchase_return,document_currency,required,"api,rbac,branch,currency,settings,i18n,audit,print,offline",True,True,True,True,Protects the purchase return currency/print path fixed in Phase 266.
purchase_return_edit_print,transactions,scenario_purchase_return_edit_print,3,purchase_return.print,document,print,purchase_return,,,,,/api/returns/purchase,remote_required,purchase_returns.print,document.purchase_return.print,document.purchase_return,transactions.purchase_return,transactions.purchase_return,document_currency,required,"print,currency,settings,i18n,rbac,audit",True,True,True,True,Protects the purchase return currency/print path fixed in Phase 266.
purchase_return_edit_print,transactions,scenario_purchase_return_edit_print,4,supplier_statement.view,report,view,,,supplier_statement,,,/api/reports/suppliers/<id>/statement,remote_available,reports.view,report.supplier_statement.view,report.supplier_statement,reports,reports.shell,display_currency,optional,"api,rbac,currency,audit",True,True,True,True,Protects the purchase return currency/print path fixed in Phase 266.
