key,category,title,phase,tool_path,tool_exists,output_path,output_exists,required
document_shell,shell,Document Shell contract,249,tools/document_shell_contract_audit.py,True,tools/audit_outputs/document_shell_contract_matrix.csv,False,True
report_shell,shell,Report Shell contract,256,tools/report_shell_contract_audit.py,True,,True,True
list_workspace,shell,List Workspace contract,257,tools/list_workspace_contract_audit.py,True,tools/audit_outputs/list_workspace_contract_matrix.csv,False,True
operational_shell,shell,Operational Shell contract,258,tools/operational_shell_contract_audit.py,True,tools/audit_outputs/operational_shell_contract_matrix.csv,False,True
settings_contract,settings,Settings contract coverage,259,tools/settings_contract_coverage_audit.py,True,tools/audit_outputs/settings_contract_coverage_matrix.csv,False,True
rbac_contract,security,RBAC permission coverage,260,tools/rbac_permission_contract_audit.py,True,tools/audit_outputs/rbac_permission_contract_matrix.csv,False,True
branch_contract,security,Branch access coverage,261,tools/branch_access_contract_audit.py,True,tools/audit_outputs/branch_access_contract_matrix.csv,False,True
audit_contract,security,Audit trail coverage,264,tools/audit_trail_contract_audit.py,True,tools/audit_outputs/audit_trail_contract_matrix.csv,False,True
offline_sync,sync,Offline sync contract,265,tools/offline_sync_contract_audit.py,True,tools/audit_outputs/offline_sync_contract_matrix.csv,False,True
offline_replay,sync,Offline replay safety,270,tools/offline_replay_safety_audit.py,True,tools/audit_outputs/offline_replay_safety_matrix.csv,False,True
e2e_scenarios,scenario,End-to-end scenario guard,271,tools/end_to_end_scenario_guard_audit.py,True,tools/audit_outputs/end_to_end_scenario_guard_matrix.csv,False,True
runtime_smoke,scenario,Runtime smoke hooks,272,tools/scenario_runtime_smoke_audit.py,True,tools/audit_outputs/scenario_runtime_smoke_matrix.csv,False,True
reports_currency,reports,Reports calculation/currency guard,275,tests/test_phase275_reports_calculation_currency_grouping.py,True,,True,True
reports_printing,reports,Reports browser printing guard,276,tests/test_phase276_report_printing_unification_confirmation.py,True,,True,True
printing_pyinstaller,printing,Printing PyInstaller loader guard,225,tools/phase225_printing_pyinstaller_guard.py,True,,True,True
windows_packaging,packaging,Windows runtime packaging gate,278,tools/windows_runtime_packaging_gate_audit.py,True,tools/audit_outputs/windows_runtime_packaging_gate_matrix.csv,True,True
release_packaging,packaging,Release packaging guard,281,tools/release_packaging_guard.py,True,,True,True
release_hidden_imports,packaging,Release hidden imports guard,280,tools/release_hidden_imports_guard.py,True,,True,True
printing_browser,printing,Browser HTML print guard,237,tools/phase237_browser_html_print_guard.py,True,,True,True
dashboard_identity,dashboard,Dashboard identity layout cleanup,285,tests/test_phase285_dashboard_identity_layout_cleanup.py,True,,True,True
dashboard_visible_layout,dashboard,Dashboard visible professional layout,286,tests/test_phase286_dashboard_visible_professional_layout.py,True,,True,True
restaurant_order_state,restaurant,Restaurant order state machine,287,tests/test_phase287_restaurant_order_state_machine.py,True,,True,True
restaurant_kds_hardening,restaurant,Restaurant KDS hardening,288,tests/test_phase288_kitchen_display_system_hardening.py,True,,True,True
restaurant_payment_split,restaurant,Restaurant payment and split bill hardening,289,tests/test_phase289_restaurant_payment_split_hardening.py,True,,True,True
restaurant_printing_templates,restaurant,Restaurant printing templates hardening,290,tests/test_phase290_restaurant_printing_templates_hardening.py,True,,True,True
restaurant_inventory_recipe,restaurant,Restaurant inventory recipe integration,291,tests/test_phase291_restaurant_inventory_recipe_integration.py,True,,True,True
restaurant_ui_visual_cleanup,restaurant,Restaurant UI visual cleanup,292,tests/test_phase292_restaurant_ui_visual_cleanup.py,True,,True,True
restaurant_table_operations,restaurant,Restaurant table operations hardening,293,tests/test_phase293_restaurant_table_operations_hardening.py,True,,True,True
restaurant_settings_printer_routing,restaurant,Restaurant settings and printer routing,294,tests/test_phase294_restaurant_settings_printer_routing.py,True,,True,True
restaurant_operation_governance,restaurant,Restaurant operation governance enforcement,295,tests/test_phase295_restaurant_operation_governance_enforcement.py,True,,True,True
restaurant_responsive_workspace,restaurant,Restaurant responsive workspace stabilization,296,tests/test_phase296_restaurant_responsive_workspace_stabilization.py,True,,True,True
restaurant_qss_runtime_hotfix,restaurant,Restaurant QSS runtime hotfix,297,tests/test_phase297_restaurant_qss_runtime_hotfix.py,True,,True,True
restaurant_fullscreen_operational_shell,restaurant,Restaurant fullscreen operational shell,298,tests/test_phase298_restaurant_fullscreen_operational_shell.py,True,,True,True
restaurant_order_workspace_declutter,restaurant,Restaurant order workspace declutter,299,tests/test_phase299_restaurant_order_workspace_declutter.py,True,,True,True
restaurant_order_search_header_collapsible_menu,restaurant,Restaurant order search header and collapsible menu,300,tests/test_phase300_restaurant_order_search_header_collapsible_menu.py,True,,True,True
dashboard_professional_exchange_sync,dashboard,Dashboard professional layout and exchange-rate sync,301,tests/test_phase301_dashboard_professional_exchange_sync.py,True,,True,True
dashboard_pixel_style_visual_matching,dashboard,Dashboard pixel-style visual matching,302,tests/test_phase302_dashboard_pixel_style_visual_matching.py,True,,True,True
dashboard_rtl_centering_alignment,dashboard,Dashboard RTL structure and centered identity alignment,303,tests/test_phase303_dashboard_rtl_centering_alignment.py,True,,True,True
restaurant_runtime_acceptance,restaurant,Restaurant runtime acceptance scenario,304,tests/test_phase304_restaurant_runtime_acceptance.py,True,,True,True
restaurant_unified_printing_audit,restaurant,Restaurant unified printing audit,305,tests/test_phase305_restaurant_unified_printing_audit.py,True,,True,True
restaurant_shift_report_operational_controls,restaurant,Restaurant shift report and operational controls,306,tests/test_phase306_restaurant_shift_report_operational_controls.py,True,,True,True
cafe_mode_foundation,restaurant,Cafe mode foundation on restaurant shell,307,tests/test_phase307_cafe_mode_foundation.py,True,,True,True
cafe_sizes_modifiers,restaurant,Cafe sizes and modifiers on restaurant order lines,308,tests/test_phase308_cafe_sizes_modifiers.py,True,,True,True
cafe_workspace_shell,restaurant,Cafe workspace shell and barista context,309,tests/test_phase309_cafe_workspace_shell.py,True,,True,True
cafe_inventory_shift_report,restaurant,Cafe inventory and shift report,310,tests/test_phase310_cafe_inventory_shift_report.py,True,,True,True
cafe_runtime_acceptance,restaurant,Cafe runtime acceptance,311,tests/test_phase311_cafe_runtime_acceptance.py,True,,True,True
cafe_analytics_fstring_hotfix,restaurant,Cafe analytics f-string hotfix,312,tests/test_phase312_cafe_analytics_fstring_hotfix.py,True,,True,True
standalone_cafe_workspace_activation,restaurant,Standalone cafe workspace activation,313,tests/test_phase313_standalone_cafe_workspace_activation.py,True,,True,True
restaurant_cafe_ui_decoupling_hotfix,restaurant,Restaurant shell no longer embeds cafe entry,314,tests/test_phase314_restaurant_cafe_ui_decoupling_hotfix.py,True,,True,True
product_variants_foundation,materials,Product variants foundation for apparel color/size stock identity,315,tests/test_phase315_product_variants_foundation.py,True,,True,True
apparel_workspace_shell,materials,Standalone apparel workspace shell backed by product variants,316,tests/test_phase316_apparel_workspace_shell.py,True,,True,True
apparel_variant_transaction_integration,materials,Apparel variant transaction/POS stock integration,317,tests/test_phase317_apparel_variant_transaction_integration.py,True,,True,True
workspace_shell_transaction_layout_unification,shell,Workspace shell and transaction layout unification,318,tests/test_phase318_workspace_shell_transaction_layout_unification.py,True,,True,True
apparel_matrix_bulk_variant_builder,materials,Apparel color/size matrix and bulk variant builder,319,tests/test_phase319_apparel_matrix_bulk_variant_builder.py,True,,True,True
apparel_inventory_operations,materials,Apparel variant-aware inventory operations,320,tests/test_phase320_apparel_inventory_operations.py,True,,True,True
apparel_reports,materials,Apparel reports for color/size stock and sales,321,tests/test_phase321_apparel_reports.py,True,,True,True
apparel_runtime_acceptance,materials,Apparel runtime acceptance for complete color/size workflow,322,tests/test_phase322_apparel_runtime_acceptance.py,True,,True,True
startup_variant_schema_hotfix,database,Startup schema upgrade for apparel variant warehouse columns,323,tests/test_phase323_startup_variant_schema_hotfix.py,True,,True,True
apparel_transaction_variant_selection_ux,materials,Apparel variant selection UX for purchase/sales transaction rows,324,tests/test_phase324_apparel_transaction_variant_selection_ux.py,True,,True,True
apparel_catalog_boundary_pricing_hardening,materials,Apparel catalog boundary and transaction pricing hardening,325,tests/test_phase325_apparel_catalog_boundary_pricing_hardening.py,True,,True,True
transaction_header_footer_layout_hotfix,ui,"One-row transaction header, horizontal invoice footer, and material editor identity-card removal",326,tests/test_phase326_transaction_header_footer_layout_hotfix.py,True,,True,True
apparel_transaction_price_currency_hotfix,materials,Apparel transaction variant lookup prices convert to display currency only once,327,tests/test_phase327_apparel_transaction_price_currency_hotfix.py,True,,True,True
dashboard_pos_transaction_ux_polish,ui,"Dashboard, POS and transaction header UX polish",328,tests/test_phase328_dashboard_pos_transaction_ux_polish.py,True,,True,True
purchase_variant_cost_currency_hotfix,materials,Purchase invoice apparel variant inherited cost is not re-converted,329,tests/test_phase329_purchase_variant_cost_currency_hotfix.py,True,,True,True
purchase_apparel_inherited_cost_rate_fallback,materials,Purchase invoice apparel inherited cost uses rate fallback for SYP display,330,tests/test_phase330_purchase_apparel_inherited_cost_rate_fallback.py,True,,True,True
ui_registry_shell_manifest,ui,UI registry and shell manifest foundation,331,tests/test_phase331_ui_registry_shell_manifest.py,True,,True,True
design_tokens_typography_normalization,ui,Design tokens and typography normalization,332,tests/test_phase332_design_tokens_typography_normalization.py,True,,True,True
main_menu_action_bar_contract,shell,Main menu/action bar contract,333,tests/test_phase333_main_menu_action_bar_contract.py,True,,True,True
universal_column_contract_foundation,ui,Universal column contract foundation,334,tests/test_phase334_universal_column_contract_foundation.py,True,,True,True
operational_column_contract_integration,ui,Restaurant/Cafe/POS/Apparel column contract integration,335,tests/test_phase335_operational_column_contract_integration.py,True,,True,True
printing_export_column_mapping,printing,Print/export column mapping,336,tests/test_phase336_printing_export_column_mapping.py,True,,True,True
editable_table_keyboard_standard,ui,Editable table keyboard standard,337,tests/test_phase337_editable_table_keyboard_standard.py,True,,True,True
unified_barcode_printing_profiles,printing,Unified barcode printing profiles,338,tests/test_phase338_unified_barcode_printing_profiles.py,True,,True,True
barcode_multi_print_ui,printing,Barcode multi-print UI for items/apparel/restaurant/cafe,339,tests/test_phase339_barcode_multi_print_ui.py,True,,True,True
final_ux_regression_guards,quality,Final UX regression guard for shell/actions/columns/keyboard/barcode,340,tools/phase340_final_ux_regression_guard.py,True,tools/audit_outputs/final_ux_regression_matrix.csv,False,True
settings_surface_contract,settings,Unified settings surface for columns and barcode profiles,341,tools/phase341_settings_surface_guard.py,True,tools/audit_outputs/settings_surface_matrix.csv,False,True
settings_runtime_wiring,settings,Settings surface runtime wiring and column customizer integration,342,tools/phase342_settings_runtime_wiring_guard.py,True,tools/audit_outputs/settings_runtime_wiring_matrix.csv,False,True
runtime_application_sweep,ui,Runtime application sweep for remaining table contracts,343,tools/phase343_runtime_application_sweep_guard.py,True,tools/audit_outputs/runtime_table_contract_sweep_matrix.csv,False,True
visual_runtime_polish_sweep,ui,Visual runtime polish sweep for legacy and modern workspaces,344,tools/phase344_visual_runtime_polish_guard.py,True,tools/audit_outputs/visual_runtime_polish_matrix.csv,False,True
full_runtime_acceptance_packaging_smoke,quality,Full runtime acceptance and packaging smoke matrix,345,tools/phase345_full_runtime_acceptance_packaging_smoke.py,True,tools/audit_outputs/full_runtime_acceptance_packaging_smoke_matrix.csv,False,True
tab_lifecycle_dashboard_fallback,shell,Fixed dashboard surface and safe tab-close lifecycle,346,tools/phase346_tab_lifecycle_dashboard_fallback_guard.py,True,tools/audit_outputs/tab_lifecycle_dashboard_fallback_matrix.csv,False,True
save_closes_tab,shell,Successful Save closes the owning workspace tab,347,tools/phase347_save_closes_tab_guard.py,True,tools/audit_outputs/save_closes_tab_matrix.csv,False,True
editable_entry_return_unification,ui,"Text focus, editable grid entry focus, and return document unification",348,tools/phase348_editable_entry_return_unification_guard.py,True,tools/audit_outputs/editable_entry_return_unification_matrix.csv,True,True
transaction_entry_cash_footer_polish,ui,"Editable current-cell highlight, cash party fallback, and unified transaction footer/actions",349,tools/phase349_transaction_entry_cash_footer_guard.py,True,tools/audit_outputs/transaction_entry_cash_footer_matrix.csv,False,True
function_close_lifecycle,shell,Function close lifecycle unification,351,tools/phase351_function_close_lifecycle_guard.py,True,tools/audit_outputs/function_close_lifecycle_matrix.csv,False,True
brand_identity_visual_system,ui,Brand identity token system for logo-inspired UI,352,tools/phase352_brand_identity_visual_guard.py,True,tools/audit_outputs/brand_identity_visual_matrix.csv,True,True
branded_first_run_runtime,ui,Branded login/splash/activation runtime polish,353,tools/phase353_branded_first_run_runtime_guard.py,True,tools/audit_outputs/branded_first_run_runtime_matrix.csv,True,True
branded_shell_runtime,shell,"Branded tabs, menu and action bar runtime polish",354,tools/phase354_branded_shell_runtime_guard.py,True,tools/audit_outputs/branded_shell_runtime_matrix.csv,True,True
branded_tables_transaction_footer,ui,Branded tables and transaction footer runtime polish,355,tools/phase355_branded_tables_transaction_footer_guard.py,True,tools/audit_outputs/branded_tables_transaction_footer_matrix.csv,True,True
branded_dialogs_system_windows,ui,Branded dialogs and system-window runtime polish,356,tools/phase356_branded_dialogs_system_windows_guard.py,True,tools/audit_outputs/branded_dialogs_system_windows_matrix.csv,True,True
qss_runtime_safety_hotfix,ui,QSS runtime f-string safety hotfix,357,tools/phase357_qss_runtime_safety_hotfix_guard.py,True,tools/audit_outputs/qss_runtime_safety_matrix.csv,True,True
login_layout_stability,ui,"Login layout safety contract, superseded by Phase359 restore",358,tools/phase358_login_layout_stability_guard.py,True,tools/audit_outputs/login_layout_stability_matrix.csv,True,True
login_phase355_restore,ui,Restore LoginDialog design only to Phase355 split layout,359,tools/phase359_login_phase355_restore_guard.py,True,tools/audit_outputs/login_phase355_restore_matrix.csv,True,True
login_rtl_layout,ui,Organized RTL-first LoginDialog layout,360,tools/phase360_login_rtl_layout_guard.py,True,tools/audit_outputs/login_rtl_layout_matrix.csv,True,True
login_vertical_expansion,ui,Vertically expanded RTL LoginDialog layout,361,tools/phase361_login_vertical_expansion_guard.py,True,tools/audit_outputs/login_vertical_expansion_matrix.csv,True,True
login_no_overlap,ui,Login password field and remember/language panel do not overlap,362,tools/phase362_login_no_overlap_guard.py,True,tools/audit_outputs/login_no_overlap_matrix.csv,True,True
login_password_gap,ui,Login password field has extra vertical gap from remember/language panel,363,tools/phase363_login_password_gap_guard.py,True,tools/audit_outputs/login_password_gap_matrix.csv,True,True
login_password_visibility,ui,Login password field has a reserved visible row before remember/language options,364,tools/phase364_login_password_visibility_guard.py,True,tools/audit_outputs/login_password_visibility_matrix.csv,True,True
login_phase352_restore,ui,LoginDialog visual design restored to Phase352 single-card layout,365,tools/phase365_login_phase352_restore_guard.py,True,tools/audit_outputs/login_phase352_restore_matrix.csv,True,True
login_pre352_rtl_safe,ui,LoginDialog restored to pre-Phase352 layout with safe RTL ordering,366,tools/phase366_login_pre352_rtl_safe_guard.py,True,tools/audit_outputs/login_pre352_rtl_safe_matrix.csv,True,True
login_pre350_restore,ui,LoginDialog visual design restored to original pre-Phase350 baseline,367,tools/phase367_login_pre350_restore_guard.py,True,tools/audit_outputs/login_pre350_restore_matrix.csv,True,True
login_password_toggle_alignment,ui,Login password visibility button is a fixed-size peer beside the password field,368,tools/phase368_login_password_toggle_alignment_guard.py,True,tools/audit_outputs/login_password_toggle_alignment_matrix.csv,True,True
warehouse_installer_printing,packaging,Warehouse-only installer release and installed printing paths,369,tools/phase369_warehouse_installer_printing_guard.py,True,tools/audit_outputs/warehouse_installer_printing_matrix.csv,True,True
warehouse_executable_identity,packaging,Warehouse executable identity end-to-end,370,tools/phase370_warehouse_executable_identity_guard.py,True,tools/audit_outputs/warehouse_executable_identity_matrix.csv,True,True
reused_windows_workflow,packaging,Reused full Windows workflow with Warehouse-only release output,371,tools/phase371_reused_windows_workflow_guard.py,True,tools/audit_outputs/reused_windows_workflow_matrix.csv,True,True
workflow_delegated_branding,packaging,Branding verifier accepts delegated PyInstaller icon wiring,372,tools/phase372_workflow_delegated_branding_guard.py,True,tools/audit_outputs/workflow_delegated_branding_matrix.csv,True,True
tab_plain_title,shell,Workspace tab captions show business titles without main/sub prefixes,373,tools/phase373_tab_plain_title_guard.py,True,tools/audit_outputs/tab_plain_title_matrix.csv,True,True
special_interface_menu_entry_focus,shell,"Restaurant, cafe and apparel move to one specialized menu while editable grids start at material",374,tools/phase374_special_interface_menu_entry_focus_guard.py,True,tools/audit_outputs/special_interface_menu_entry_focus_matrix.csv,True,True
inline_party_voucher_editor,shell,"Customer, supplier and voucher lists open Add/Edit inline instead of spawning tabs",375,tools/phase375_inline_party_voucher_editor_guard.py,True,tools/audit_outputs/inline_party_voucher_editor_matrix.csv,True,True
voucher_master_detail_inline,shell,Voucher list uses the same master-detail inline editor structure as customers and suppliers,376,tools/phase376_voucher_master_detail_inline_guard.py,True,tools/audit_outputs/voucher_master_detail_inline_matrix.csv,True,True
inline_management_editor,shell,"Users, categories, warehouses and branches add/edit inline instead of spawning sub-tabs",377,tools/phase377_inline_management_editor_guard.py,True,tools/audit_outputs/inline_management_editor_matrix.csv,True,True
inline_runtime_hotfix,shell,"Inline runtime hotfix for users, vouchers, cashboxes and menu routes",378,tools/phase378_inline_runtime_hotfix_guard.py,True,tools/audit_outputs/inline_runtime_hotfix_matrix.csv,True,True
inline_party_layout_unification,shell,Customer and supplier inline editors share one wide layout without duplicate title cards,379,tools/phase379_inline_party_layout_unification_guard.py,True,tools/audit_outputs/inline_party_layout_unification_matrix.csv,True,True
unified_inline_workspace,shell,All inline master-detail editors share one wide layout and minimal outer chrome,380,tools/phase380_unified_inline_workspace_guard.py,True,tools/audit_outputs/unified_inline_workspace_matrix.csv,True,True
document_layout_family_contract,shell,"Document editors declare card, financial, or tabular layout families for inline and standalone use",381,tools/phase381_document_layout_family_contract_guard.py,True,tools/audit_outputs/document_layout_family_contract_matrix.csv,True,True
editable_grid_runtime_polish,ui,"Editable grids resolve barcode/material cells, jump to quantity, and focus newly inserted lines",382,tools/phase382_editable_grid_runtime_polish_guard.py,True,tools/audit_outputs/editable_grid_runtime_polish_matrix.csv,True,True
menu_inline_action_routing,shell,Main menu and action-bar New route management creation into inline workspaces,383,tools/phase383_menu_inline_action_routing_guard.py,True,tools/audit_outputs/menu_inline_action_routing_matrix.csv,True,True
dashboard_table_runtime_polish,ui,"Dashboard labels, daily actions, and table Enter/centering polish",384,tools/phase384_dashboard_table_runtime_polish_guard.py,True,tools/audit_outputs/phase384_dashboard_table_runtime_polish_matrix.csv,True,True
editable_grid_unit_enter,ui,Editable grids move from material/barcode to unit before quantity,385,tools/phase385_editable_grid_unit_enter_guard.py,True,tools/audit_outputs/editable_grid_unit_enter_matrix.csv,True,True
