code,area,title,path,ok,detail
current_cell_property,keyboard,Editable grids expose a current-cell visual highlight property,alrajhi_client/ui/table_keyboard_policy.py,True,
entry_grid_selects_current_cell,keyboard,"Entry-grid focus selects the current cell, not only a row",alrajhi_client/ui/table_keyboard_policy.py,True,
editor_default_clear_preserved,keyboard,Default editor tokens still clear on Enter while real values select all,alrajhi_client/ui/table_keyboard_policy.py,True,
current_cell_qss,visual,QSS paints the active editable cell with a distinct border/background,alrajhi_client/theme/qss.py,True,
footer_summary_qss,visual,Transaction footer summary/payment panels have unified typography,alrajhi_client/theme/qss.py,True,
bottom_actions_qss,visual,Bottom transaction action buttons are larger and role-styled,alrajhi_client/theme/qss.py,True,
footer_design_tokens,visual,Footer and bottom-button sizes use central design tokens,alrajhi_client/theme/brand.py,True,
current_cell_tokens,visual,Current-cell highlight colors are theme tokens for light/dark mode,alrajhi_client/theme/brand.py,True,
cash_party_default,cash_party,Transaction party combo defaults to Cash instead of No party,alrajhi_client/features/transactions/transaction_document_tab.py,True,
no_party_no_question,cash_party,Saving without customer/supplier is a cash document and does not ask a blocking question,alrajhi_client/features/transactions/transaction_document_tab.py,True,
returns_cash_original_label,returns,Return invoice helper labels also show Cash when no party is present,alrajhi_client/features/transactions/transaction_document_tab.py,True,
footer_label_object_names,visual,Totals/payment labels expose object names for unified styling,alrajhi_client/features/transactions/components/transaction_totals_panel.py,True,
footer_button_object_names,visual,Footer mini buttons are named and sized consistently,alrajhi_client/features/transactions/components/transaction_totals_panel.py,True,
bottom_action_roles,actions,Bottom action buttons expose semantic transaction_action roles,alrajhi_client/features/transactions/components/transaction_bottom_actions.py,True,
bottom_action_size,actions,Bottom actions are larger and clearer by default,alrajhi_client/features/transactions/components/transaction_bottom_actions.py,True,
